image,dino_similarity,clip_similarity,final_score,prompt
outputs\dataset_cyborg-tentacles-color-fixed_20260216192602\data_06_45_degree_back_left_lineart_map_00001_.png,1.0,0.24543467164039612,0.7736304014921188,"pixel art, exactly 10 glowing purple tentacles, 45 degree back left, standing on solid ground, white background, high quality"
outputs\dataset_cyborg-tentacles-color-fixed_20260216192602\data_00_front_view_lineart_map_00001_.png,1.0,0.24511149525642395,0.7735334485769272,"pixel art, exactly 10 glowing purple tentacles, front view, standing on solid ground, white background, high quality"
outputs\dataset_cyborg-tentacles-color-fixed_20260216192602\data_05_45_degree_front_right_lineart_map_00001_.png,1.0,0.24422818422317505,0.7732684552669524,"pixel art, exactly 10 glowing purple tentacles, 45 degree front right, standing on solid ground, white background, high quality"
outputs\dataset_cyborg-tentacles-color-fixed_20260216192602\data_04_45_degree_front_left_lineart_map_00001_.png,1.0,0.24375692009925842,0.7731270760297775,"pixel art, exactly 10 glowing purple tentacles, 45 degree front left, standing on solid ground, white background, high quality"
outputs\dataset_cyborg-tentacles-color-fixed_20260216192602\data_03_back_view_lineart_map_00001_.png,1.0,0.24356117844581604,0.7730683535337448,"pixel art, exactly 10 glowing purple tentacles, back view, standing on solid ground, white background, high quality"
outputs\dataset_cyborg-tentacles-color-fixed_20260216192602\data_07_45_degree_back_right_lineart_map_00001_.png,1.0,0.24314145743846893,0.7729424372315407,"pixel art, exactly 10 glowing purple tentacles, 45 degree back right, standing on solid ground, white background, high quality"
outputs\dataset_cyborg-tentacles-color-fixed_20260216192602\data_01_side_view_left_lineart_map_00001_.png,1.0,0.24095769226551056,0.7722873076796531,"pixel art, exactly 10 glowing purple tentacles, side view left, standing on solid ground, white background, high quality"
outputs\dataset_cyborg-tentacles-color-fixed_20260216192602\data_09_walking_animation_lineart_map_00001_.png,1.0,0.24002023041248322,0.7720060691237449,"pixel art, exactly 10 glowing purple tentacles, walking animation, standing on solid ground, white background, high quality"
outputs\dataset_cyborg-tentacles-color-fixed_20260216192602\data_02_side_view_right_lineart_map_00001_.png,1.0,0.23970668017864227,0.7719120040535926,"pixel art, exactly 10 glowing purple tentacles, side view right, standing on solid ground, white background, high quality"
outputs\dataset_cyborg-tentacles-color-fixed_20260216192602\data_08_idle_animation_lineart_map_00001_.png,1.0,0.23664559423923492,0.7709936782717705,"pixel art, exactly 10 glowing purple tentacles, idle animation, standing on solid ground, white background, high quality"
outputs\dataset_cyborg-tentacles-color-fixed_20260216192602\data_10_attack_pose_1_lineart_map_00001_.png,1.0,0.2273847460746765,0.7682154238224029,"pixel art, exactly 10 glowing purple tentacles, attack pose 1, standing on solid ground, white background, high quality"
outputs\dataset_cyborg-tentacles-color-fixed_20260216192602\data_11_attack_pose_2_lineart_map_00001_.png,1.0,0.2262367606163025,0.7678710281848907,"pixel art, exactly 10 glowing purple tentacles, attack pose 2, standing on solid ground, white background, high quality"
